repo_path,raw_url,video_name,subject_id,subject_num,skill_label,skill_binary,stroke_type,repeat_id,action_folder,modality_dir,valid_flag,parse_note,blob_sha,blob_size_bytes
VIDEO_RGB/backhand/p1_backhand_s1.avi,https://raw.githubusercontent.com/THETIS-dataset/dataset/main/VIDEO_RGB/backhand/p1_backhand_s1.avi,p1_backhand_s1.avi,p1,1,beginner,0,backhand,1,backhand,VIDEO_RGB,1,,f1f4ffc10acc37a89b241b0bc425ebead94a1e09,3399256
VIDEO_RGB/backhand/p1_backhand_s2.avi,https://raw.githubusercontent.com/THETIS-dataset/dataset/main/VIDEO_RGB/backhand/p1_backhand_s2.avi,p1_backhand_s2.avi,p1,1,beginner,0,backhand,2,backhand,VIDEO_RGB,1,,8a79241d30b22d054e013835b6635b61264a995f,1635362
VIDEO_RGB/backhand/p1_backhand_s3.avi,https://raw.githubusercontent.com/THETIS-dataset/dataset/main/VIDEO_RGB/backhand/p1_backhand_s3.avi,p1_backhand_s3.avi,p1,1,beginner,0,backhand,3,backhand,VIDEO_RGB,1,,f9a37abb049094dfe9673c4d4f576b497b452825,2053824
VIDEO_RGB/backhand/p2_backhand_s1.avi,https://raw.githubusercontent.com/THETIS-dataset/dataset/main/VIDEO_RGB/backhand/p2_backhand_s1.avi,p2_backhand_s1.avi,p2,2,beginner,0,backhand,1,backhand,VIDEO_RGB,1,,64bb45e89562b5aca5bb1afc1c8f1b01cc095a02,1751480
VIDEO_RGB/backhand/p2_backhand_s2.avi,https://raw.githubusercontent.com/THETIS-dataset/dataset/main/VIDEO_RGB/backhand/p2_backhand_s2.avi,p2_backhand_s2.avi,p2,2,beginner,0,backhand,2,backhand,VIDEO_RGB,1,,c1c2e331b2aa7382b2d323938cb91829cb3b8307,1685696
VIDEO_RGB/backhand/p2_backhand_s3.avi,https://raw.githubusercontent.com/THETIS-dataset/dataset/main/VIDEO_RGB/backhand/p2_backhand_s3.avi,p2_backhand_s3.avi,p2,2,beginner,0,backhand,3,backhand,VIDEO_RGB,1,,38d1ba9011c12dd44b07db84561ea352c01405ff,1748968
VIDEO_RGB/backhand/p3_backhand_s1.avi,https://raw.githubusercontent.com/THETIS-dataset/dataset/main/VIDEO_RGB/backhand/p3_backhand_s1.avi,p3_backhand_s1.avi,p3,3,beginner,0,backhand,1,backhand,VIDEO_RGB,1,,c616200d26278153be61acd33570d5f3b57cc572,2013004
VIDEO_RGB/backhand/p3_backhand_s2.avi,https://raw.githubusercontent.com/THETIS-dataset/dataset/main/VIDEO_RGB/backhand/p3_backhand_s2.avi,p3_backhand_s2.avi,p3,3,beginner,0,backhand,2,backhand,VIDEO_RGB,1,,3deb8ef814d530733a98a9de138667d58f678837,1686430
VIDEO_RGB/backhand/p3_backhand_s3.avi,https://raw.githubusercontent.com/THETIS-dataset/dataset/main/VIDEO_RGB/backhand/p3_backhand_s3.avi,p3_backhand_s3.avi,p3,3,beginner,0,backhand,3,backhand,VIDEO_RGB,1,,271b3cfa2a93d48a381df1e478917c3de08bfaf4,1767884
VIDEO_RGB/backhand/p4_backhand_s1.avi,https://raw.githubusercontent.com/THETIS-dataset/dataset/main/VIDEO_RGB/backhand/p4_backhand_s1.avi,p4_backhand_s1.avi,p4,4,beginner,0,backhand,1,backhand,VIDEO_RGB,1,,9527a0008ddb4867810ffdf31a4d1d75f92863fd,2232000
VIDEO_RGB/backhand/p4_backhand_s2.avi,https://raw.githubusercontent.com/THETIS-dataset/dataset/main/VIDEO_RGB/backhand/p4_backhand_s2.avi,p4_backhand_s2.avi,p4,4,beginner,0,backhand,2,backhand,VIDEO_RGB,1,,e580f78813608d0167f1d7a8db17a9500e9fb23f,1954788
VIDEO_RGB/backhand/p4_backhand_s3.avi,https://raw.githubusercontent.com/THETIS-dataset/dataset/main/VIDEO_RGB/backhand/p4_backhand_s3.avi,p4_backhand_s3.avi,p4,4,beginner,0,backhand,3,backhand,VIDEO_RGB,1,,f918477b6f96a1aa5a2796a0ef77a2834382a322,2166136
VIDEO_RGB/backhand/p5_backhand_s1.avi,https://raw.githubusercontent.com/THETIS-dataset/dataset/main/VIDEO_RGB/backhand/p5_backhand_s1.avi,p5_backhand_s1.avi,p5,5,beginner,0,backhand,1,backhand,VIDEO_RGB,1,,e3e4c98614f5ab16f065c5bac340dbbd8b6ca064,1865154
VIDEO_RGB/backhand/p5_backhand_s2.avi,https://raw.githubusercontent.com/THETIS-dataset/dataset/main/VIDEO_RGB/backhand/p5_backhand_s2.avi,p5_backhand_s2.avi,p5,5,beginner,0,backhand,2,backhand,VIDEO_RGB,1,,5c490ba070508a30ec8b6d8d67a6b88f5a21edc8,1991636
VIDEO_RGB/backhand/p5_backhand_s3.avi,https://raw.githubusercontent.com/THETIS-dataset/dataset/main/VIDEO_RGB/backhand/p5_backhand_s3.avi,p5_backhand_s3.avi,p5,5,beginner,0,backhand,3,backhand,VIDEO_RGB,1,,5e979ccd36cfc2632dd2a7adcb7f129802c35bf9,1850614
VIDEO_RGB/backhand/p6_backhand_s1.avi,https://raw.githubusercontent.com/THETIS-dataset/dataset/main/VIDEO_RGB/backhand/p6_backhand_s1.avi,p6_backhand_s1.avi,p6,6,beginner,0,backhand,1,backhand,VIDEO_RGB,1,,83323f6839226f686918a09c146a20a9a5470493,2599292
VIDEO_RGB/backhand/p6_backhand_s2.avi,https://raw.githubusercontent.com/THETIS-dataset/dataset/main/VIDEO_RGB/backhand/p6_backhand_s2.avi,p6_backhand_s2.avi,p6,6,beginner,0,backhand,2,backhand,VIDEO_RGB,1,,be2de4ecf715ef169aee50e60165af7a5f5eccba,2530852
VIDEO_RGB/backhand/p6_backhand_s3.avi,https://raw.githubusercontent.com/THETIS-dataset/dataset/main/VIDEO_RGB/backhand/p6_backhand_s3.avi,p6_backhand_s3.avi,p6,6,beginner,0,backhand,3,backhand,VIDEO_RGB,1,,fc977a51b5b5ac0c9a0dd4ab0d032aee81922078,1803988
VIDEO_RGB/backhand/p7_backhand_s1.avi,https://raw.githubusercontent.com/THETIS-dataset/dataset/main/VIDEO_RGB/backhand/p7_backhand_s1.avi,p7_backhand_s1.avi,p7,7,beginner,0,backhand,1,backhand,VIDEO_RGB,1,,05f02897c55b092b35295f75ed711b35c3708c14,1742358
