row_index,issue,repo_path,stroke_type,action_folder
165,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p1_foreflat_s1.avi,foreflat,forehand_flat
166,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p1_foreflat_s2.avi,foreflat,forehand_flat
167,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p1_foreflat_s3.avi,foreflat,forehand_flat
168,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p2_foreflat_s1.avi,foreflat,forehand_flat
169,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p2_foreflat_s2.avi,foreflat,forehand_flat
170,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p2_foreflat_s3.avi,foreflat,forehand_flat
171,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p3_foreflat_s1.avi,foreflat,forehand_flat
172,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p3_foreflat_s2.avi,foreflat,forehand_flat
173,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p3_foreflat_s3.avi,foreflat,forehand_flat
174,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p4_foreflat_s1.avi,foreflat,forehand_flat
175,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p4_foreflat_s2.avi,foreflat,forehand_flat
176,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p4_foreflat_s3.avi,foreflat,forehand_flat
177,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p5_foreflat_s1.avi,foreflat,forehand_flat
178,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p5_foreflat_s2.avi,foreflat,forehand_flat
179,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p5_foreflat_s3.avi,foreflat,forehand_flat
180,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p6_foreflat_s1.avi,foreflat,forehand_flat
181,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p6_foreflat_s2.avi,foreflat,forehand_flat
182,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p6_foreflat_s3.avi,foreflat,forehand_flat
183,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p7_foreflat_s1.avi,foreflat,forehand_flat
184,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p7_foreflat_s2.avi,foreflat,forehand_flat
185,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p7_foreflat_s3.avi,foreflat,forehand_flat
186,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p8_foreflat_s1.avi,foreflat,forehand_flat
187,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p8_foreflat_s2.avi,foreflat,forehand_flat
188,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p8_foreflat_s3.avi,foreflat,forehand_flat
189,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p9_foreflat_s1.avi,foreflat,forehand_flat
190,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p9_foreflat_s2.avi,foreflat,forehand_flat
191,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p9_foreflat_s3.avi,foreflat,forehand_flat
192,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p10_foreflat_s1.avi,foreflat,forehand_flat
193,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p10_foreflat_s2.avi,foreflat,forehand_flat
194,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p10_foreflat_s3.avi,foreflat,forehand_flat
195,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p11_foreflat_s1.avi,foreflat,forehand_flat
196,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p11_foreflat_s2.avi,foreflat,forehand_flat
197,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p11_foreflat_s3.avi,foreflat,forehand_flat
198,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p12_foreflat_s1.avi,foreflat,forehand_flat
199,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p12_foreflat_s2.avi,foreflat,forehand_flat
200,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p12_foreflat_s3.avi,foreflat,forehand_flat
201,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p13_foreflat_s1.avi,foreflat,forehand_flat
202,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p13_foreflat_s2.avi,foreflat,forehand_flat
203,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p13_foreflat_s3.avi,foreflat,forehand_flat
204,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p14_foreflat_s1.avi,foreflat,forehand_flat
205,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p14_foreflat_s2.avi,foreflat,forehand_flat
206,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p14_foreflat_s3.avi,foreflat,forehand_flat
207,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p15_foreflat_s1.avi,foreflat,forehand_flat
208,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p15_foreflat_s2.avi,foreflat,forehand_flat
209,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p15_foreflat_s3.avi,foreflat,forehand_flat
210,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p16_foreflat_s1.avi,foreflat,forehand_flat
211,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p16_foreflat_s2.avi,foreflat,forehand_flat
212,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p16_foreflat_s3.avi,foreflat,forehand_flat
213,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p17_foreflat_s1.avi,foreflat,forehand_flat
214,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p17_foreflat_s2.avi,foreflat,forehand_flat
215,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p17_foreflat_s3.avi,foreflat,forehand_flat
216,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p18_foreflat_s1.avi,foreflat,forehand_flat
217,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p18_foreflat_s2.avi,foreflat,forehand_flat
218,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p18_foreflat_s3.avi,foreflat,forehand_flat
219,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p19_foreflat_s1.avi,foreflat,forehand_flat
220,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p19_foreflat_s2.avi,foreflat,forehand_flat
221,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p19_foreflat_s3.avi,foreflat,forehand_flat
222,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p20_foreflat_s1.avi,foreflat,forehand_flat
223,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p20_foreflat_s2.avi,foreflat,forehand_flat
224,stroke_folder_mismatch,VIDEO_RGB/forehand_flat/p20_foreflat_s3.avi,foreflat,forehand_flat
