action_folder,video_name,frame_count,mean_conf,zero_ratio,status
backhand,p10_backhand_s1.avi,78,0.9296895265579224,0.0,ok
backhand,p10_backhand_s2.avi,73,0.9430949687957764,0.0,ok
backhand,p10_backhand_s3.avi,66,0.9392468333244324,0.0,ok
backhand,p11_backhand_s1.avi,92,0.9369958639144897,0.0,ok
backhand,p11_backhand_s2.avi,104,0.9326856732368469,0.0,ok
backhand,p11_backhand_s3.avi,92,0.927280604839325,0.0,ok
backhand,p12_backhand_s1.avi,90,0.9328956604003906,0.0,ok
backhand,p12_backhand_s2.avi,79,0.9361358880996704,0.0,ok
backhand,p12_backhand_s3.avi,81,0.940342128276825,0.0,ok
backhand,p13_backhand_s1.avi,74,0.9332844018936157,0.0,ok
backhand,p13_backhand_s2.avi,76,0.9152675271034241,0.0,ok
backhand,p13_backhand_s3.avi,100,0.9197577238082886,0.0,ok
backhand,p14_backhand_s1.avi,70,0.9318835139274597,0.0,ok
backhand,p14_backhand_s2.avi,71,0.9291256070137024,0.0,ok
backhand,p14_backhand_s3.avi,60,0.9188270568847656,0.0,ok
backhand,p15_backhand_s1.avi,97,0.9529863595962524,0.0,ok
backhand,p15_backhand_s2.avi,83,0.9472876191139221,0.0,ok
backhand,p15_backhand_s3.avi,91,0.9542534351348877,0.0,ok
backhand,p16_backhand_s1.avi,130,0.925303041934967,0.0,ok
backhand,p16_backhand_s2.avi,107,0.9319924116134644,0.0,ok
backhand,p16_backhand_s3.avi,99,0.9483174681663513,0.0,ok
backhand,p17_backhand_s1.avi,40,0.9592667818069458,0.0,ok
backhand,p17_backhand_s2.avi,45,0.9592768549919128,0.0,ok
backhand,p17_backhand_s3.avi,37,0.9451448321342468,0.0,ok
backhand,p18_backhand_s1.avi,66,0.9444910883903503,0.0,ok
backhand,p18_backhand_s2.avi,74,0.9426295757293701,0.0,ok
backhand,p18_backhand_s3.avi,76,0.9436548352241516,0.0,ok
backhand,p19_backhand_s1.avi,78,0.9524338245391846,0.0,ok
backhand,p19_backhand_s2.avi,72,0.9422587752342224,0.0,ok
backhand,p19_backhand_s3.avi,69,0.9447091221809387,0.0,ok
backhand,p1_backhand_s1.avi,80,0.9063993692398071,0.0,ok
backhand,p1_backhand_s2.avi,57,0.9133745431900024,0.0,ok
backhand,p1_backhand_s3.avi,72,0.9302091002464294,0.0,ok
backhand,p20_backhand_s1.avi,84,0.9245879054069519,0.0,ok
backhand,p20_backhand_s2.avi,85,0.9196709990501404,0.0,ok
backhand,p20_backhand_s3.avi,79,0.9236685037612915,0.0,ok
backhand,p21_backhand_s1.avi,61,0.9323964715003967,0.0,ok
backhand,p21_backhand_s2.avi,57,0.9371024370193481,0.0,ok
backhand,p21_backhand_s3.avi,77,0.9371064901351929,0.0,ok
backhand,p22_backhand_s1.avi,67,0.9164764881134033,0.0,ok
backhand,p22_backhand_s2.avi,69,0.9153038263320923,0.0,ok
backhand,p22_backhand_s3.avi,68,0.9217349886894226,0.0,ok
backhand,p23_backhand_s1.avi,88,0.9342781901359558,0.0,ok
backhand,p23_backhand_s2.avi,92,0.9144722819328308,0.0,ok
backhand,p23_backhand_s3.avi,89,0.9504767060279846,0.0,ok
backhand,p24_backhand_s1.avi,118,0.9148135185241699,0.0,ok
backhand,p24_backhand_s2.avi,124,0.9221791625022888,0.0,ok
backhand,p24_backhand_s3.avi,81,0.8792709708213806,0.0,ok
backhand,p25_backhand_s1.avi,61,0.9370595216751099,0.0,ok
backhand,p25_backhand_s2.avi,65,0.9392768144607544,0.0,ok
backhand,p25_backhand_s3.avi,80,0.9253884553909302,0.0,ok
backhand,p26_backhand_s1.avi,73,0.9363316297531128,0.0,ok
backhand,p26_backhand_s2.avi,59,0.9464382529258728,0.0,ok
backhand,p26_backhand_s3.avi,70,0.9296172261238098,0.0,ok
backhand,p27_backhand_s1.avi,66,0.9424496293067932,0.0,ok
backhand,p27_backhand_s2.avi,72,0.9444535374641418,0.0,ok
backhand,p27_backhand_s3.avi,56,0.9503606557846069,0.0,ok
backhand,p28_backhand_s1.avi,73,0.9626839756965637,0.0,ok
backhand,p28_backhand_s2.avi,80,0.9534823894500732,0.0,ok
backhand,p28_backhand_s3.avi,79,0.9575747847557068,0.0,ok
backhand,p29_backhand_s1.avi,64,0.9319108724594116,0.0,ok
backhand,p29_backhand_s2.avi,70,0.9382656812667847,0.0,ok
backhand,p29_backhand_s3.avi,77,0.9312291741371155,0.0,ok
backhand,p2_backhand_s1.avi,73,0.9278942942619324,0.0,ok
backhand,p2_backhand_s2.avi,68,0.9361227750778198,0.0,ok
backhand,p2_backhand_s3.avi,72,0.9271441698074341,0.0,ok
backhand,p30_backhand_s1.avi,87,0.9360224604606628,0.0,ok
backhand,p30_backhand_s2.avi,88,0.9321390390396118,0.0,ok
backhand,p30_backhand_s3.avi,93,0.9306619167327881,0.0,ok
backhand,p31_backhand_s1.avi,56,0.9434863328933716,0.0,ok
backhand,p31_backhand_s2.avi,64,0.9399469494819641,0.0,ok
backhand,p31_backhand_s3.avi,81,0.9373080730438232,0.0,ok
backhand,p32_backhand_s1.avi,28,0.9056856632232666,0.0,ok
backhand,p32_backhand_s2.avi,27,0.9020774960517883,0.0,ok
backhand,p32_backhand_s3.avi,33,0.9132295250892639,0.0,ok
backhand,p33_backhand_s1.avi,49,0.9414708614349365,0.0,ok
backhand,p33_backhand_s2.avi,39,0.9175590872764587,0.0,ok
backhand,p33_backhand_s3.avi,50,0.9150686264038086,0.0,ok
backhand,p34_backhand_s1.avi,67,0.9130985736846924,0.0,ok
backhand,p34_backhand_s2.avi,58,0.9002940654754639,0.0,ok
backhand,p34_backhand_s3.avi,66,0.904172420501709,0.0,ok
backhand,p35_backhand_s1.avi,61,0.9214269518852234,0.0,ok
backhand,p35_backhand_s2.avi,47,0.9102976322174072,0.0,ok
backhand,p35_backhand_s3.avi,59,0.9053033590316772,0.0,ok
backhand,p36_backhand_s1.avi,53,0.9111791253089905,0.0,ok
backhand,p36_backhand_s2.avi,49,0.9159932732582092,0.0,ok
backhand,p36_backhand_s3.avi,49,0.9140472412109375,0.0,ok
backhand,p37_backhand_s1.avi,74,0.9228200316429138,0.0,ok
backhand,p37_backhand_s2.avi,67,0.9285297989845276,0.0,ok
backhand,p37_backhand_s3.avi,65,0.9102565050125122,0.0,ok
backhand,p38_backhand_s1.avi,67,0.9158506989479065,0.0,ok
backhand,p38_backhand_s2.avi,66,0.904334545135498,0.0,ok
backhand,p38_backhand_s3.avi,70,0.9189270734786987,0.0,ok
backhand,p39_backhand_s1.avi,56,0.9029274582862854,0.0,ok
backhand,p39_backhand_s2.avi,68,0.9392076134681702,0.0,ok
backhand,p39_backhand_s3.avi,83,0.941307544708252,0.0,ok
backhand,p3_backhand_s1.avi,92,0.9483411312103271,0.0,ok
backhand,p3_backhand_s2.avi,77,0.9412346482276917,0.0,ok
backhand,p3_backhand_s3.avi,84,0.9406189322471619,0.0,ok
backhand,p40_backhand_s1.avi,68,0.9251049160957336,0.0,ok
backhand,p40_backhand_s2.avi,57,0.917034387588501,0.0,ok
backhand,p40_backhand_s3.avi,59,0.912594199180603,0.0,ok
backhand,p41_backhand_s1.avi,74,0.9167704582214355,0.0,ok
backhand,p41_backhand_s2.avi,62,0.8932410478591919,0.0,ok
